Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key,strength_normalized,dosage_range,frequency,population
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,LUPIN LTD,"Jan 30, 2018",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,RISING,"Jan 11, 2019",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,SUN PHARMA CANADA,"Jul 8, 1996",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,TORRENT,"Dec 30, 2019",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,XIROMED,"Jun 15, 2018",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE,ZYDUS PHARMS,"Oct 15, 2018",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE (EMOLLIENT),BEACH PRODS,"Aug 21, 2017",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
CLOBETASOL PROPIONATE,CREAM,TOPICAL,0.05%,CLOBETASOL PROPIONATE (EMOLLIENT),FOUGERA PHARMS,"May 26, 1999",CLOBETASOL PROPIONATE||0.05%||CREAM||TOPICAL,0.05%,,,
DEXAMETHASONE,CONCENTRATE,ORAL,1MG/ML,DEXAMETHASONE INTENSOL,HIKMA,"Sep 1, 1983",DEXAMETHASONE||1MG/ML||CONCENTRATE||ORAL,1 mg/ml,,,
DEXAMETHASONE,ELIXIR,ORAL,0.5MG/5ML,DEXAMETHASONE,CHARTWELL MOLECULAR,"May 11, 2011",DEXAMETHASONE||0.5MG/5ML||ELIXIR||ORAL,0.5 mg/5 ml,,,
DEXAMETHASONE,ELIXIR,ORAL,0.5MG/5ML,DEXAMETHASONE,RISING,"Jul 12, 2011",DEXAMETHASONE||0.5MG/5ML||ELIXIR||ORAL,0.5 mg/5 ml,,,
DEXAMETHASONE,INSERT,OPHTHALMIC,0.4MG,DEXTENZA,OCULAR THERAPEUTIX,"Nov 30, 2018",DEXAMETHASONE||0.4MG||INSERT||OPHTHALMIC,0.4 mg,,,
DEXAMETHASONE,SOLUTION,ORAL,0.5MG/5ML,DEXAMETHASONE,HIKMA,"Sep 1, 1983",DEXAMETHASONE||0.5MG/5ML||SOLUTION||ORAL,0.5 mg/5 ml,,,
DEXAMETHASONE,TABLET,ORAL,4MG,DEXAMETHASONE,ALVOGEN,"Apr 28, 1983",DEXAMETHASONE||4MG||TABLET||ORAL,4 mg,,,
DEXAMETHASONE,TABLET,ORAL,6MG,DEXAMETHASONE,ALVOGEN,"Nov 28, 1983",DEXAMETHASONE||6MG||TABLET||ORAL,6 mg,,,
DEXAMETHASONE,TABLET,ORAL,2MG,DEXAMETHASONE,AMNEAL,"Sep 8, 2022",DEXAMETHASONE||2MG||TABLET||ORAL,2 mg,,,
DEXAMETHASONE,TABLET,ORAL,4MG,DEXAMETHASONE,AMNEAL,"Oct 14, 2021",DEXAMETHASONE||4MG||TABLET||ORAL,4 mg,,,
DEXAMETHASONE,TABLET,ORAL,6MG,DEXAMETHASONE,AMNEAL,"Oct 14, 2021",DEXAMETHASONE||6MG||TABLET||ORAL,6 mg,,,
DEXAMETHASONE,TABLET,ORAL,0.5MG,DEXAMETHASONE,APOTEX,"Aug 23, 2023",DEXAMETHASONE||0.5MG||TABLET||ORAL,0.5 mg,,,
DEXAMETHASONE,TABLET,ORAL,0.75MG,DEXAMETHASONE,APOTEX,"Aug 23, 2023",DEXAMETHASONE||0.75MG||TABLET||ORAL,0.75 mg,,,
DEXAMETHASONE,TABLET,ORAL,1MG,DEXAMETHASONE,APOTEX,"Aug 23, 2023",DEXAMETHASONE||1MG||TABLET||ORAL,1 mg,,,
DEXAMETHASONE,TABLET,ORAL,1.5MG,DEXAMETHASONE,APOTEX,"Aug 23, 2023",DEXAMETHASONE||1.5MG||TABLET||ORAL,1.5 mg,,,
DEXAMETHASONE,TABLET,ORAL,2MG,DEXAMETHASONE,APOTEX,"Aug 23, 2023",DEXAMETHASONE||2MG||TABLET||ORAL,2 mg,,,
DEXAMETHASONE,TABLET,ORAL,4MG,DEXAMETHASONE,APOTEX,"Aug 23, 2023",DEXAMETHASONE||4MG||TABLET||ORAL,4 mg,,,
DEXAMETHASONE,TABLET,ORAL,6MG,DEXAMETHASONE,APOTEX,"Aug 23, 2023",DEXAMETHASONE||6MG||TABLET||ORAL,6 mg,,,
DEXAMETHASONE,TABLET,ORAL,2MG,DEXAMETHASONE,BIONPHARMA,"Apr 26, 2023",DEXAMETHASONE||2MG||TABLET||ORAL,2 mg,,,
DEXAMETHASONE,TABLET,ORAL,4MG,DEXAMETHASONE,BIONPHARMA,"Apr 19, 2023",DEXAMETHASONE||4MG||TABLET||ORAL,4 mg,,,
DEXAMETHASONE,TABLET,ORAL,0.5MG,DEXAMETHASONE,COREPHARMA,"Sep 17, 2024",DEXAMETHASONE||0.5MG||TABLET||ORAL,0.5 mg,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 4MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,AMNEAL,"Aug 22, 2018",DEXAMETHASONE SODIUM PHOSPHATE||EQ 4MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 4 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,EUGIA PHARMA,"Jun 5, 2020",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 4MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,FRESENIUS KABI USA,"Sep 6, 1977",DEXAMETHASONE SODIUM PHOSPHATE||EQ 4MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 4 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 4MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,FRESENIUS KABI USA,"Sep 30, 2015",DEXAMETHASONE SODIUM PHOSPHATE||EQ 4MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 4 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,FRESENIUS KABI USA,"Apr 22, 2005",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,FRESENIUS KABI USA,"Jul 6, 2018",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 4MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,GLAND,"Aug 4, 2021",DEXAMETHASONE SODIUM PHOSPHATE||EQ 4MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 4 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,GLAND,"Sep 25, 2023",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 4MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,HIKMA,"Jul 15, 1975",DEXAMETHASONE SODIUM PHOSPHATE||EQ 4MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 4 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,HIKMA,"Sep 7, 1982",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,MICRO LABS,"Mar 27, 2024",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 4MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,MYLAN LABS LTD,"Aug 29, 2008",DEXAMETHASONE SODIUM PHOSPHATE||EQ 4MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 4 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,MYLAN LABS LTD,"Aug 29, 2008",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 4MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,SOMERSET,"Jun 8, 2018",DEXAMETHASONE SODIUM PHOSPHATE||EQ 4MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 4 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE,SOMERSET THERAPS LLC,"May 10, 2019",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE PRESERVATIVE FREE,AMNEAL,"Aug 22, 2018",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE PRESERVATIVE FREE,FRESENIUS KABI USA,"Apr 11, 2003",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,INJECTABLE,INJECTION,EQ 10MG PHOSPHATE/ML,DEXAMETHASONE SODIUM PHOSPHATE PRESERVATIVE FREE,SOMERSET THERAPS LLC,"Apr 19, 2018",DEXAMETHASONE SODIUM PHOSPHATE||EQ 10MG PHOSPHATE/ML||INJECTABLE||INJECTION,eq 10 mg phosphate/ml,,,
DEXAMETHASONE SODIUM PHOSPHATE,SOLUTION/DROPS,"OPHTHALMIC, OTIC",EQ 0.1% PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,BAUSCH AND LOMB,"Jul 26, 1996","DEXAMETHASONE SODIUM PHOSPHATE||EQ 0.1% PHOSPHATE||SOLUTION/DROPS||OPHTHALMIC, OTIC",eq 0.1% phosphate,,,
DEXAMETHASONE SODIUM PHOSPHATE,SOLUTION/DROPS,"OPHTHALMIC, OTIC",EQ 0.1% PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,SANDOZ INC,"Jan 16, 1985","DEXAMETHASONE SODIUM PHOSPHATE||EQ 0.1% PHOSPHATE||SOLUTION/DROPS||OPHTHALMIC, OTIC",eq 0.1% phosphate,,,
HYDROCORTISONE,CREAM,TOPICAL,2.5%,ALA-CORT,CROWN LABS,"Jan 5, 2016",HYDROCORTISONE||2.5%||CREAM||TOPICAL,2.5%,,,
HYDROCORTISONE,CREAM,TOPICAL,2.5%,ANUSOL HC,SALIX PHARMS,"Jun 6, 1984",HYDROCORTISONE||2.5%||CREAM||TOPICAL,2.5%,,,
HYDROCORTISONE,CREAM,TOPICAL,1%,HYDROCORTISONE,ACTAVIS MID ATLANTIC,"May 3, 1983",HYDROCORTISONE||1%||CREAM||TOPICAL,1%,,,
HYDROCORTISONE,CREAM,TOPICAL,2.5%,HYDROCORTISONE,ACTAVIS MID ATLANTIC,"Mar 10, 1988",HYDROCORTISONE||2.5%||CREAM||TOPICAL,2.5%,,,
HYDROCORTISONE,CREAM,TOPICAL,2.5%,HYDROCORTISONE,FOUGERA PHARMS INC,"Dec 16, 1986",HYDROCORTISONE||2.5%||CREAM||TOPICAL,2.5%,,,
HYDROCORTISONE,CREAM,TOPICAL,2.5%,HYDROCORTISONE,RISING,"Aug 20, 2010",HYDROCORTISONE||2.5%||CREAM||TOPICAL,2.5%,,,
HYDROCORTISONE,CREAM,TOPICAL,2.5%,HYDROCORTISONE,TARO,"Nov 9, 1984",HYDROCORTISONE||2.5%||CREAM||TOPICAL,2.5%,,,
HYDROCORTISONE,ENEMA,RECTAL,100MG/60ML,COLOCORT,CHARTWELL,"Dec 3, 1999",HYDROCORTISONE||100MG/60ML||ENEMA||RECTAL,100 mg/60 ml,,,
HYDROCORTISONE,GRANULE,ORAL,0.5MG,ALKINDI SPRINKLE,ETON,"Sep 29, 2020",HYDROCORTISONE||0.5MG||GRANULE||ORAL,0.5 mg,,,
HYDROCORTISONE,GRANULE,ORAL,1MG,ALKINDI SPRINKLE,ETON,"Sep 29, 2020",HYDROCORTISONE||1MG||GRANULE||ORAL,1 mg,,,
HYDROCORTISONE,GRANULE,ORAL,2MG,ALKINDI SPRINKLE,ETON,"Sep 29, 2020",HYDROCORTISONE||2MG||GRANULE||ORAL,2 mg,,,
HYDROCORTISONE,GRANULE,ORAL,5MG,ALKINDI SPRINKLE,ETON,"Sep 29, 2020",HYDROCORTISONE||5MG||GRANULE||ORAL,5 mg,,,
HYDROCORTISONE,LOTION,TOPICAL,2.5%,STIE-CORT,PADAGIS US,"Nov 26, 1985",HYDROCORTISONE||2.5%||LOTION||TOPICAL,2.5%,,,
HYDROCORTISONE,OINTMENT,TOPICAL,2.5%,HYDROCORTISONE,FOUGERA PHARMS INC,"May 28, 1993",HYDROCORTISONE||2.5%||OINTMENT||TOPICAL,2.5%,,,
HYDROCORTISONE,OINTMENT,TOPICAL,1%,HYDROCORTISONE IN ABSORBASE,CMP PHARMA INC,"Sep 6, 1985",HYDROCORTISONE||1%||OINTMENT||TOPICAL,1%,,,
HYDROCORTISONE,SOLUTION,ORAL,1MG/ML,KHINDIVI,ETON,"May 28, 2025",HYDROCORTISONE||1MG/ML||SOLUTION||ORAL,1 mg/ml,,,
HYDROCORTISONE,TABLET,ORAL,5MG,HYDROCORTISONE,AUROBINDO PHARMA LTD,"Jul 17, 2023",HYDROCORTISONE||5MG||TABLET||ORAL,5 mg,,,
HYDROCORTISONE,TABLET,ORAL,10MG,HYDROCORTISONE,AUROBINDO PHARMA LTD,"Jul 17, 2023",HYDROCORTISONE||10MG||TABLET||ORAL,10 mg,,,
HYDROCORTISONE,TABLET,ORAL,20MG,HYDROCORTISONE,AUROBINDO PHARMA LTD,"Jul 17, 2023",HYDROCORTISONE||20MG||TABLET||ORAL,20 mg,,,
HYDROCORTISONE,TABLET,ORAL,5MG,HYDROCORTISONE,HIBROW HLTHCARE,"Nov 25, 2024",HYDROCORTISONE||5MG||TABLET||ORAL,5 mg,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,20MG/ML,DEPO-MEDROL,PFIZER,"May 17, 1960",METHYLPREDNISOLONE ACETATE||20MG/ML||INJECTABLE||INJECTION,20 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,DEPO-MEDROL,PFIZER,"Apr 27, 1959",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,DEPO-MEDROL,PFIZER,"Sep 9, 1975",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,AMNEAL,"May 20, 2019",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,AMNEAL,"Nov 3, 2023",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,AMNEAL,"May 20, 2019",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,AMNEAL,"Nov 3, 2023",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,EUGIA PHARMA,"Apr 13, 2023",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,EUGIA PHARMA,"Apr 13, 2023",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,HIKMA,"Apr 16, 2025",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,HONG KONG,"Feb 23, 2005",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,HONG KONG,"Feb 23, 2005",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,PH HEALTH,"Jan 21, 2022",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,PH HEALTH,"Jan 21, 2022",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,SAGENT PHARMS INC,"Jun 27, 2018",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,SAGENT PHARMS INC,"Jun 27, 2018",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,SANDOZ,"Jan 29, 2009",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,40MG/ML,METHYLPREDNISOLONE ACETATE,SANDOZ,"Mar 5, 2009",METHYLPREDNISOLONE ACETATE||40MG/ML||INJECTABLE||INJECTION,40 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,SANDOZ,"Jan 29, 2009",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE ACETATE,INJECTABLE,INJECTION,80MG/ML,METHYLPREDNISOLONE ACETATE,SANDOZ,"Mar 5, 2009",METHYLPREDNISOLONE ACETATE||80MG/ML||INJECTABLE||INJECTION,80 mg/ml,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 40MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,AMNEAL,"Nov 9, 2016",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 40MG BASE/VIAL||INJECTABLE||INJECTION,eq 40 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 125MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,AMNEAL,"Nov 9, 2016",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 125MG BASE/VIAL||INJECTABLE||INJECTION,eq 125 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 40MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,FRESENIUS KABI USA,"Jul 30, 2004",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 40MG BASE/VIAL||INJECTABLE||INJECTION,eq 40 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 125MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,FRESENIUS KABI USA,"Jul 30, 2004",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 125MG BASE/VIAL||INJECTABLE||INJECTION,eq 125 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 1GM BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,FRESENIUS KABI USA,"Aug 12, 2004",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 1GM BASE/VIAL||INJECTABLE||INJECTION,eq 1 gm base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 40MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,HIKMA,"Sep 26, 2022",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 40MG BASE/VIAL||INJECTABLE||INJECTION,eq 40 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 125MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,HIKMA,"Sep 26, 2022",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 125MG BASE/VIAL||INJECTABLE||INJECTION,eq 125 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 500MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,HIKMA,"Feb 16, 2016",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 500MG BASE/VIAL||INJECTABLE||INJECTION,eq 500 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 1GM BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,HIKMA,"Feb 16, 2016",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 1GM BASE/VIAL||INJECTABLE||INJECTION,eq 1 gm base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 40MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,SAGENT PHARMS INC,"Jul 18, 2011",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 40MG BASE/VIAL||INJECTABLE||INJECTION,eq 40 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 125MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,SAGENT PHARMS INC,"Jul 18, 2011",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 125MG BASE/VIAL||INJECTABLE||INJECTION,eq 125 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 500MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,SAGENT PHARMS INC,"Jul 18, 2011",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 500MG BASE/VIAL||INJECTABLE||INJECTION,eq 500 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 1GM BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,SAGENT PHARMS INC,"Jul 18, 2011",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 1GM BASE/VIAL||INJECTABLE||INJECTION,eq 1 gm base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 2GM BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,SAGENT PHARMS INC,"Jul 18, 2011",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 2GM BASE/VIAL||INJECTABLE||INJECTION,eq 2 gm base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 40MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,TIANJIN KINGYORK,"Apr 20, 2021",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 40MG BASE/VIAL||INJECTABLE||INJECTION,eq 40 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 125MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,TIANJIN KINGYORK,"Apr 20, 2021",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 125MG BASE/VIAL||INJECTABLE||INJECTION,eq 125 mg base/vial,,,
METHYLPREDNISOLONE SODIUM SUCCINATE,INJECTABLE,INJECTION,EQ 500MG BASE/VIAL,METHYLPREDNISOLONE SODIUM SUCCINATE,TIANJIN KINGYORK,"Apr 20, 2021",METHYLPREDNISOLONE SODIUM SUCCINATE||EQ 500MG BASE/VIAL||INJECTABLE||INJECTION,eq 500 mg base/vial,,,
