Active ingredients,Dosage Form,Route,Strength,Brand name,Applicant Holder,Approval Date,group_key
ASPIRIN; METHOCARBAMOL,TABLET,ORAL,325MG; 400MG,METHOCARBAMOL AND ASPIRIN,JEROME STEVENS PHARMACEUTICALS INC,"Jan 31, 1995",ASPIRIN; METHOCARBAMOL||325MG; 400MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,RYZOLT,PURDUE PHARMA PRODUCTS LP,"Dec 30, 2008","TRAMADOL HYDROCHLORIDE||300MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,STRIDES PHARMA INTERNATIONAL AG,"Nov 13, 2009","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,STRIDES PHARMA INTERNATIONAL AG,"Nov 13, 2009","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Dec 7, 2011","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL"
CELECOXIB; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,56MG; 44MG,SEGLENTIS,KOWA PHARMACEUTICALS AMERICA INC,"Oct 15, 2021",CELECOXIB; TRAMADOL HYDROCHLORIDE||56MG; 44MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,LUPIN LTD,"Aug 29, 2011","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,"Jun 27, 2012","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,ASTA MEDICA INC,"Jul 12, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,150MG,CONZIP,CIPHER PHARMACEUTICALS INC,"Aug 1, 2011","TRAMADOL HYDROCHLORIDE||150MG||CAPSULE, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,"Jun 27, 2012","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,ULTRAM,JANSSEN PHARMACEUTICALS INC,"Mar 3, 1995",TRAMADOL HYDROCHLORIDE||50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,MACLEODS PHARMACEUTICALS LTD,"May 2, 2017",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,"Jun 21, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Dec 30, 2011","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,ACTAVIS ELIZABETH LLC,"Jun 27, 2012","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL"
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,SUN PHARMACEUTICAL INDUSTRIES INC,"Dec 16, 2005",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,SOLUTION,ORAL,5MG/ML,QDOLO,ATHENA BIOSCIENCE LLC,"Sep 1, 2020",TRAMADOL HYDROCHLORIDE||5MG/ML||SOLUTION||ORAL
TRAMADOL HYDROCHLORIDE,"CAPSULE, EXTENDED RELEASE",ORAL,300MG,CONZIP,CIPHER PHARMACEUTICALS INC,"May 7, 2010","TRAMADOL HYDROCHLORIDE||300MG||CAPSULE, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,ULTRAM,JANSSEN PHARMACEUTICALS INC,"Mar 3, 1995",TRAMADOL HYDROCHLORIDE||100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,200MG,TRAMADOL HYDROCHLORIDE,PH HEALTH LTD,"Jun 27, 2012","TRAMADOL HYDROCHLORIDE||200MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,75MG,TRAMADOL HYDROCHLORIDE,RUBICON RESEARCH LTD,"Apr 4, 2024",TRAMADOL HYDROCHLORIDE||75MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,"Jan 31, 2025","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,GRAVITI PHARMACEUTICALS PRIVATE LTD,"Jun 25, 2002",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,300MG,TRAMADOL HYDROCHLORIDE,MYLAN PHARMACEUTICALS INC,"Dec 22, 2015","TRAMADOL HYDROCHLORIDE||300MG||TABLET, EXTENDED RELEASE||ORAL"
TRAMADOL HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,100MG,TRAMADOL HYDROCHLORIDE,MACLEODS PHARMACEUTICALS LTD,"Jan 31, 2025","TRAMADOL HYDROCHLORIDE||100MG||TABLET, EXTENDED RELEASE||ORAL"
ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE,TABLET,ORAL,325MG; 37.5MG,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,AMNEAL PHARMACEUTICALS,"Dec 9, 2009",ACETAMINOPHEN; TRAMADOL HYDROCHLORIDE||325MG; 37.5MG||TABLET||ORAL
TRAMADOL HYDROCHLORIDE,TABLET,ORAL,50MG,TRAMADOL HYDROCHLORIDE,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,"Jul 2, 2019",TRAMADOL HYDROCHLORIDE||50MG||TABLET||ORAL
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; NAPROXEN SODIUM,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG; 110MG,MUCINEX 12HR COLD & FEVER MULTI-SYMPTOM,RB HEALTH US LLC,"Dec 22, 2025","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; NAPROXEN SODIUM||30MG; 600MG; 110MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,GUARDIAN DRUG CO,"Sep 6, 2017","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,PERRIGO R AND D CO,"Mar 5, 2018","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,MUCINEX D,RB HEALTH US LLC,"Jun 22, 2004","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,"Mar 25, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,DR REDDYS LABORATORIES LTD,"Dec 29, 2017","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||600MG; 60MG||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,DR REDDYS LABORATORIES LTD,"Aug 1, 2023","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Aug 31, 2015","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,DR REDDYS LABORATORIES LTD,"Aug 1, 2023","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,PERRIGO R AND D CO,"Nov 5, 2020","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,PERRIGO R AND D CO,"Mar 5, 2018","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,PERRIGO R AND D CO,"Nov 5, 2020","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,MUCINEX,RB HEALTH US LLC,"Dec 18, 2002","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,MUCINEX DM,RB HEALTH US LLC,"Apr 29, 2004","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Apr 28, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||600MG; 60MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,GRANULES INDIA LTD,"May 8, 2020","GUAIFENESIN||600MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,L PERRIGO CO,"Feb 1, 2022","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,1.2GM; 120MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,SUN PHARMACEUTICAL INDUSTRIES INC,"Apr 28, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||1.2GM; 120MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,"Jul 11, 2018","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Sep 3, 2015","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,GRANULES INDIA LTD,"Aug 22, 2022","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||600MG; 60MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,MARKSANS PHARMA LTD,"Aug 21, 2023","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Aug 31, 2015","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,GUARDIAN DRUG CO,"Sep 6, 2017","GUAIFENESIN||600MG||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,30MG; 600MG,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,SUN PHARMACEUTICAL INDUSTRIES LTD,"Jul 1, 2021","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||30MG; 600MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,MUCINEX,RB HEALTH US LLC,"Dec 18, 2002","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML; 30MG/5ML,HYCOFENIX,CHARTWELL RX SCIENCES LLC,"May 14, 2015",GUAIFENESIN; HYDROCODONE BITARTRATE; PSEUDOEPHEDRINE HYDROCHLORIDE||200MG/5ML; 2.5MG/5ML; 30MG/5ML||SOLUTION||ORAL
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,GUARDIAN DRUG CO,"Sep 6, 2017","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,PERRIGO R AND D CO,"Mar 5, 2018","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,AUROBINDO PHARMA LTD,"Oct 21, 2019","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,OHM LABORATORIES INC,"Jul 16, 2018","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,OHM LABORATORIES INC,"Jul 16, 2018","GUAIFENESIN||600MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,1.2GM,GUAIFENESIN,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Sep 3, 2015","GUAIFENESIN||1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,"Mar 25, 2020","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||600MG; 60MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,600MG,GUAIFENESIN,DR REDDYS LABORATORIES LTD,"Mar 15, 2022","GUAIFENESIN||600MG||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,AUROBINDO PHARMA LTD,"Mar 17, 2017","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL"
DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN,"TABLET, EXTENDED RELEASE",ORAL,60MG; 1.2GM,GUAIFENESIN AND DEXTROMETHORPHAN HYDROBROMIDE,ACTAVIS LABORATORIES FL INC AN INDIRECT WHOLLY OWNED SUB OF TEVA PHARMACEUTICALS USA INC,"Aug 31, 2015","DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN||60MG; 1.2GM||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE,"TABLET, EXTENDED RELEASE",ORAL,600MG; 60MG,GUAIFENESIN AND PSEUDOEPHEDRINE HYDROCHLORIDE,GRANULES INDIA LTD,"Aug 22, 2022","GUAIFENESIN; PSEUDOEPHEDRINE HYDROCHLORIDE||600MG; 60MG||TABLET, EXTENDED RELEASE||ORAL"
GUAIFENESIN; HYDROCODONE BITARTRATE,SOLUTION,ORAL,200MG/5ML; 2.5MG/5ML,OBREDON,SOVEREIGN PHARMACEUTICALS LLC,"Nov 14, 2014",GUAIFENESIN; HYDROCODONE BITARTRATE||200MG/5ML; 2.5MG/5ML||SOLUTION||ORAL
